Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-01-04,9873.08,9830.84,9959.17,9973.18,10379.1,9828.53,9581.67
2022-01-05,9610.46,9645.11,9502.28,10039.64,10189.35,9451.23,9069.33
2022-01-06,9450.03,9580.38,9500.38,10005.25,10297.6,9376.55,8874.13
2022-01-07,9459.37,9539.3,9450.0,10140.49,10399.63,9381.33,8559.57
2022-01-10,9460.47,9476.63,9563.97,10090.36,10409.58,9388.2,8819.28
2022-01-11,9619.25,9704.09,9637.53,9983.1,10420.16,9409.41,8871.63
2022-01-12,9643.98,9694.99,9754.4,9897.98,10479.26,9507.69,9220.19
2022-01-13,9460.47,9460.67,9558.28,9837.94,10466.2,9105.3,8597.91
2022-01-14,9508.82,9514.89,9619.91,9784.31,9822.91,9266.62,8748.35
2022-01-18,9329.16,9325.9,9379.72,9741.17,9411.05,9041.07,8589.16
2022-01-19,9133.02,9172.23,9318.92,9710.86,9265.47,9061.39,8298.6
2022-01-20,9038.51,8900.44,9194.16,9633.32,9186.46,9009.71,8303.77
2022-01-21,8923.14,8370.85,8990.28,9611.17,9025.95,8843.32,7867.28
2022-01-24,8879.73,8482.41,9021.49,9500.41,9017.87,8853.47,7751.42
2022-01-25,8778.64,8214.92,8754.65,9772.07,9116.16,8618.07,7654.74
2022-01-26,8773.69,8149.58,8913.14,9815.79,9202.64,8863.63,7813.18
2022-01-27,8747.87,8194.47,8897.42,9944.62,9040.26,8957.13,6910.43
2022-01-28,9358.28,8449.19,9197.16,10014.58,9121.14,9208.66,7054.21
2022-01-31,9602.77,8777.56,9331.82,10043.72,9244.95,9289.92,7807.43
2022-02-01,9593.43,8872.62,9493.25,9961.53,9403.59,9223.6,7761.84
2022-02-02,9661.01,8838.53,10207.49,10071.71,9328.31,9364.0,7548.55
2022-02-03,9499.48,8148.0,9868.85,10071.12,9251.16,8999.25,7427.53
2022-02-04,9483.52,9250.9,9882.85,10005.25,9491.31,9139.36,7695.74
2022-02-07,9443.37,9268.27,9600.63,9972.02,9523.04,8990.29,7562.55
2022-02-08,9617.75,9472.37,9614.29,9998.25,9702.22,9098.13,7684.74
2022-02-09,9697.52,9459.23,9765.54,9997.09,9742.65,9296.79,7768.09
2022-02-10,9468.67,9330.94,9560.56,9876.41,9702.22,9033.01,7539.3
2022-02-11,9277.23,8995.86,9261.41,9776.73,9575.92,8813.74,7167.98
2022-02-14,9290.43,9105.8,9347.17,9653.73,9486.96,8812.55,7299.34
2022-02-15,9505.53,9184.65,9421.83,9753.41,9625.69,8975.95,7688.33
2022-02-16,9492.33,9277.95,9499.73,9747.58,9643.11,8965.47,7696.33
2022-02-17,9290.43,9075.61,9141.15,9688.12,9421.01,8702.95,7304.26
2022-02-18,9203.52,8955.25,8993.84,9584.27,9465.18,8619.13,7142.81
2022-02-22,9039.58,8814.17,8953.18,9454.03,9448.38,8612.84,6847.34
2022-02-23,8805.78,8499.01,8799.69,9458.72,9250.54,8389.83,6368.17
2022-02-24,8952.66,8882.28,9151.64,9278.02,8992.98,8818.49,6674.31
2022-02-25,9068.73,9024.91,9273.61,9739.16,9205.75,8899.92,6750.15
2022-02-28,9083.59,9011.68,9314.82,9655.27,8821.89,8944.22,7254.91
2022-03-01,8977.97,8869.6,9246.16,9621.82,8489.05,8829.27,7204.4
2022-03-02,9162.81,8923.03,9281.34,9741.51,8665.11,8986.13,7333.76
2022-03-03,9144.65,8679.26,9234.99,9884.66,8603.52,8858.31,6995.37
2022-03-04,8976.31,8546.78,9097.53,9943.33,8361.51,8676.9,6987.03
2022-03-07,8763.42,8066.28,8716.27,10103.5,8038.62,8349.12,6706.06
2022-03-08,8661.1,7981.86,8766.34,9898.75,7982.01,8257.52,6871.26
2022-03-09,8964.21,8173.44,9201.92,9936.3,8301.79,8636.19,7159.4
2022-03-10,8720.51,8615.82,9133.6,9953.9,8203.49,8549.08,6987.11
2022-03-11,8512.01,8539.95,8957.11,9935.71,8018.71,8383.84,6629.13
2022-03-14,8285.91,8324.49,8686.78,10072.99,8098.35,8275.18,6387.59
2022-03-15,8531.82,8648.04,8910.73,10334.07,8242.06,8595.78,6683.64
2022-03-16,8779.37,8984.74,9192.3,10239.03,8610.36,8812.51,7003.2
2022-03-17,8836.03,9227.4,9230.82,10372.8,8719.24,8837.35,7264.66
2022-03-18,9020.88,9462.81,9388.52,10257.8,8716.13,8993.31,7546.3
2022-03-21,9097.89,9476.95,9386.86,10315.89,8688.13,8955.3,7677.74
2022-03-22,9287.13,9676.33,9646.63,10267.19,8872.91,9101.98,8284.69
2022-03-23,9363.6,9589.42,9536.8,10228.47,8696.22,8965.17,8327.44
2022-03-24,9575.95,9603.59,9764.16,10281.27,8752.83,9103.17,8450.88
2022-03-25,9611.7,9669.55,9771.12,10379.83,8829.36,9090.6,8423.54
2022-03-28,9660.12,9917.02,9756.12,10433.23,8764.03,9300.74,9100.33
2022-03-29,9844.96,9936.06,9828.54,10427.95,8783.32,9441.74,9164.76
2022-03-30,9779.49,9759.19,9789.44,10536.48,8743.5,9395.34,9118.25
2022-03-31,9605.65,9565.33,9591.42,10398.02,8480.96,9229.2,8981.65
2022-04-01,9589.15,9598.34,9666.12,10454.34,8418.13,9262.43,9039.91
2022-04-04,9816.35,9879.23,9860.68,10353.44,8455.45,9428.57,9547.17
2022-04-05,9630.41,9627.39,9696.5,10420.32,8357.05,9306.13,9095.5
